MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,49,38.5,-1.261,at max gross
0.2,49,38.5,-1.261,
0.4,49,38.5,-1.261,
0.6,49,38.5,-1.261,
0.8,49,38.5,-1.261,
1.0,49,38.5,-1.261,
1.2,49,38.5,-1.261,
1.4,49,38.5,-1.261,
1.6,49,38.5,-1.261,
1.8,49,38.5,-1.261,
2.0,49,38.5,-1.261,
2.2,49,38.5,-1.261,
2.4,49,38.5,-1.261,
2.6,49,38.5,-1.261,
2.8,49,38.5,-1.261,
3.0,49,38.5,-1.261,
3.2,49,38.5,-1.261,
3.4,49,38.5,-1.261,
3.6,49,38.5,-1.261,
3.8,49,38.5,-1.261,
4.0,49,38.5,-1.261,
4.2,49,38.5,-1.261,
4.4,49,38.5,-1.261,
4.6,49,38.5,-1.261,
4.8,49,38.5,-1.261,
5.0,49,38.5,-1.261,
5.2,49,38.5,-1.261,
5.4,49,38.5,-1.261,
5.6,49,38.5,-1.261,
5.8,49,38.5,-1.261,
6.0,49,38.5,-1.261,
6.2,49,38.5,-1.261,
6.4,49,38.5,-1.261,
6.6,49,38.5,-1.261,
6.8,49,38.5,-1.261,
7.0,49,38.5,-1.261,
7.2,49,38.5,-1.261,
7.4,49,38.5,-1.261,
7.6,49,38.5,-1.261,
7.8,49,38.5,-1.261,
8.0,49,38.5,-1.261,
